author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Адресат;real_estate_agent;https://www.cian.ru/sale/flat/303608215/;Москва;sale;flat;18;33;2;57.0;16200000;Южное Бутово; Поляны;5Ак2;Улица Скобелевская;Столичные поляны
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/298484253/;Москва;sale;flat;3;14;1;38.8;16500000;Даниловский;проспект Лихачева;;ЗИЛ;Nagatino i-Land
MR Group;developer;https://www.cian.ru/sale/flat/298871546/;Москва;sale;flat;38;48;1;34.8;16542511;Покровское-Стрешнево;Вишневая ;7С128;Тушинская;Мультиквартал CITYZEN
Sezar Group;developer;https://www.cian.ru/sale/flat/303106303/;Москва;sale;flat;2;51;1;37.01;16839550;Хорошевский;2-й Хорошевский проезд;7С15;Хорошёвская;SEZAR CITY
Apsis Globe;developer;https://www.cian.ru/sale/flat/283700420/;Москва;sale;flat;6;21;2;72.5;16900000;Тропарево-Никулино;Востряковское шоссе;7с3;Озёрная;Комплекс апартаментов CITIMIX
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303253613/;Москва;sale;flat;4;15;1;30.2;17500000;Хорошевский;Ходынский бульвар;20А;ЦСКА;Лайнер
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/303331637/;Москва;sale;flat;8;16;2;54.6;17950000;Северное Тушино; Свободы;93;Планерная;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301313976/;Москва;sale;flat;26;42;2;46.0;22500000;Котловка;Большая Черемушкинская ;25С14;Нагорная;Eniteo
Sezar Group;developer;https://www.cian.ru/sale/flat/303106768/;Москва;sale;flat;23;51;1;44.29;22942220;Хорошевский;2-й Хорошевский проезд;7С18;Хорошёвская;SEZAR CITY
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/300877720/;Москва;sale;flat;25;37;2;57.0;23000000;Останкинский; Годовикова;11к5;Алексеевская;iLove
ID 100604708;homeowner;https://www.cian.ru/sale/flat/303934208/;Москва;sale;flat;3;17;2;51.0;23200000;Филевский парк; Василисы Кожиной;14К2;Багратионовская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299110205/;Москва;sale;flat;7;11;1;39.8;24950000;Басманный; Казакова;7;Курская;KAZAKOV Grand Loft
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303964788/;Москва;sale;flat;5;9;2;68.8;26200000;Даниловский;Автозаводская ;вл23;ЗИЛ;Shagal
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297075052/;Москва;sale;flat;50;55;2;42.47;27500000;Марьина роща; 4-я Марьиной рощи;12С4;Марьина Роща;Mod
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/296569807/;Москва;sale;flat;50;55;2;42.62;27500000;Марьина роща; 4-я Марьиной рощи;12С4;Марьина Роща;Mod
TOUCH;developer;https://www.cian.ru/sale/flat/302838389/;Москва;sale;flat;6;13;1;48.79;30444000;Южнопортовый;;к1;Дубровка;Шампайн ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297999260/;Москва;sale;flat;4;12;2;58.3;31000000;Хорошево-Мневники;Причальный проезд;10;Шелепиха;Level Причальный
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/304329908/;Москва;sale;flat;24;44;2;69.0;31700000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
Арт Риэлти;real_estate_agent;https://www.cian.ru/sale/flat/303122846/;Москва;sale;flat;17;22;2;73.3;32000000;Щукино;Щукинская ;3;Стрешнево;Интонация
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/304091290/;Москва;sale;flat;5;11;2;66.0;32500000;Лефортово; Золоторожский Вал;;Серп и Молот;Символ
VOS HOD;developer;https://www.cian.ru/sale/flat/300560430/;Москва;sale;flat;9;17;1;69.5;39128500;Филевский парк; Василисы Кожиной;вл25/1;Филёвский парк;AHEAD
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/301078527/;Москва;sale;flat;3;5;1;47.0;41670000;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297080776/;Москва;sale;flat;50;55;2;65.21;42000000;Марьина роща; 4-я Марьиной рощи;12С4;Марьина Роща;Mod
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/297716380/;Москва;sale;flat;36;53;2;78.0;45800000;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302464388/;Москва;sale;flat;9;21;2;86.0;47300000;Хорошево-Мневники; Нижние Мневники;9;Терехово ;Остров
FORMA;developer;https://www.cian.ru/sale/flat/300120478/;Москва;sale;flat;11;33;2;58.74;49929000;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
FORMA;developer;https://www.cian.ru/sale/flat/298003712/;Москва;sale;flat;27;33;2;75.56;54596180;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/298199191/;Москва;sale;flat;11;14;2;69.0;55000000;Раменки;проспект Генерала Дорохова;39к1В;Минская;Собрание клубных домов West Garden
